No,address,content,link,picture address,price,size,statue,subtype,title,type
0,"New York,  New York","DELIVERED VACANT

685 WASHINGTON STREET -Vacant Land,
Block/Lot 632/1; Lot Dimensions: 51'  x 61' 
Lot Size: 2,217;  Building Dimensions: 0
As...",http://www.loopnet.com/Listing/19830892/685-Washington-St-New-York-NY/,http://x.lnimg.com/photo/thumb_288/66de8d06abd14d05bb8e92be5e175c6e.jpg,Not Disclosed,0.13 Acres,Active,Commercial/Other (land),West Village Properties for Sale by Owner,Land
1,"New York,  New York","81 Mercer Street for Sale by Owner   

Rare opportunity to purchase development lot, which can be delivered vacant or with tenant in place.   ...",http://www.loopnet.com/Listing/19310090/81-Mercer-St-New-York-NY/,http://x.lnimg.com/photo/thumb_288/febb0116f93c41aeba3294a479a5fd1d.jpg,"$18,000,000",0.06 Acres,Active,Commercial/Other (land),SoHo Lot for Sale by Owner | Price Reduced!,Land
2,"New York,  New York","60,000 sf Air rights available from 59th street and up to 98th street.",http://www.loopnet.com/Listing/20114271/840-5th-avenue-NY-NY-10065-New-York-NY/,http://x.lnimg.com/photo/thumb_288/1a190e7db0994381bbb4f99f1ede7a9f.jpg,Not Disclosed,1.38 Acres,Active,Residential (land),60k sf Air Rights UES,Land
3,"New York,  New York","RON GAMEL has been selected to exclusively market for sale this development property at 518-520 West 44 Street New York, NY, located between 10th...",http://www.loopnet.com/Listing/20076699/518-W-44th-St-New-York-NY/,http://x.lnimg.com/photo/thumb_288/600fc455415044bab15aad57415b8482.jpg,"$17,000,000",0.86 Acres,Active,Residential (land),West 44th St Development Site,Land
4,"New York,  New York","Prime Realty is pleased to present an excellent development site for sale located on 121-123 West 138 St in Harlem. The subject property is 5,196...",http://www.loopnet.com/Listing/20071269/121-123-W-138th-St-New-York-NY/,http://x.lnimg.com/photo/thumb_288/1054b3440bb94783b4d22341dc5da2d6.jpg,"$4,700,000",0.12 Acres,Active,Multifamily (land),Prime Development Site in Harlem,Land
5,"New York,  New York",Cushman & Wakefield has been retained on an exclusive basis to arrange for the sale of a 50' wide prime residential development site located on...,http://www.loopnet.com/Listing/20052170/362-364-W-15th-St-New-York-NY/,http://x.lnimg.com/photo/thumb_288/c865eeb758f24c6db5d8f415c7ea53c3.jpg,Not Disclosed,0.06 Acres,Active,Residential (land),362 West 15th Street,Land
6,"New York,  New York","Across from the Highline! Zoning: C2-5/R8A FAR: 6
Between 10th and 11th Avenues West Chelsea Development Site!",http://www.loopnet.com/Listing/20040501/10th-Avenue-W-18th-Street-New-York-NY/,//x.lnimg.com/xnet/mainsite/images/placeholders/no-photo.svg,"$22,000,000",0.09 Acres,Active,Retail (land),"Chelsea 22,800sf Retail / Condo Development Site!!",Land
7,"New York,  New York","Vacant land in Harlem, steps from Central Park. Size is 135 x 101 feet. Zoned R7-2. FAR is 4 for residential and 6.5 with community bonus. Owner...",http://www.loopnet.com/Listing/20011780/11-East-115th-Street-New-York-NY/,//x.lnimg.com/xnet/mainsite/images/placeholders/no-photo.svg,"$18,000,000",0.31 Acres,Active,Residential (land),"Harlem, steps from Central Park",Land
8,"New York,  New York","Approved for 71,012 sq ft. 69 residential units plus the community facility. Currently Build Up To 4th Floor Structure.",http://www.loopnet.com/Listing/19917661/208-delancey-ST-New-York-NY/,http://x.lnimg.com/photo/thumb_288/d91462b8d87f495a92f04f47e34e6e1a.jpg,"$35,000,000",0.25 Acres,Active,Residential (land),Delancey Bridge Tower,Land
9,"New York,  New York","-20' x 50.05' Lot Dimension

-M1-6 Zoning

-FAR 10

-Close Proximity to the Holland Tunnel

-Close Proximity to the 1,2,A,C & E Trains",http://www.loopnet.com/Listing/19893713/49-Dominick-Street-New-York-NY/,http://x.lnimg.com/photo/thumb_288/9ce4b1b4713c4e56a09740bf6eee92de.jpg,Not Disclosed,0.02 Acres,Active,Industrial (land),Hudson Square Development Site For Sale,Land
